attempt_id,target_id,condition,condition_name,attempt,status,test_path,test_sha256,test_runner,same_test,oracle_status,hypothesis,trigger,potential_failure,expected_behavior,target_evidence,historical_evidence,mechanism_match,buggy_exit,fixed_exit,buggy_state,fixed_state,buggy_failure_type,fixed_failure_type,buggy_exception,fixed_exception,classification,verified_f2p,failure_category,activation,llm_calls,prompt_tokens,completion_tokens,wall_clock_seconds,buggy_log,fixed_log,error
experiment5_B_01,tornado:1,B,NAIVE_RAW_HISTORY,1,MODEL_ERROR,,,,,UNSUPPORTED_ORACLE,,,,,,,no,,,,,,,,,MODEL_ERROR,,MODEL_OUTPUT_FAILURE,NOT_ACTIVATED,1,0,0,11.026,,,response did not contain a JSON object
experiment5_B_02,tornado:1,B,NAIVE_RAW_HISTORY,2,TEST,generated_tests/experiment5/end_to_end/B/attempt_02.py,bf3392369249122e6665593197fc471a7e98ffcf392583ac8c0b17b041be594f,buggy:pytest;fixed:pytest,True,UNSUPPORTED_ORACLE,"In demos/s3server/s3server.py, BaseRequestHandler._object_path computes the MD5 hash of object_name without encoding it to bytes, so on Python 3 hashlib.md5(object_name) raises TypeError when bucket_depth >= 1.","Instantiate S3Application with bucket_depth=1 and call _object_path('bucket', 'key') on a handler instance.","TypeError: Unicode-objects must be encoded before hashing, instead of returning a valid filesystem path.",_object_path should return a valid path string for the given bucket and object name even when bucket_depth >= 1.,"s3server.py defines _object_path using hashlib.md5(object_name).hexdigest() and the module imports hashlib; the bucket_depth option is documented as breaking files into multiple directories. On Python 3, hashlib.md5 requires bytes, so passing a str object_name fails.","cookiecutter:1 and PySnooper:3 both involve Python 3 encoding/decoding defects (wrong encoding on Windows, wrong variable in file open), suggesting encoding-related bugs are common; here the analogous defect is missing .encode() before hashing.",no,2,2,MECHANICAL_FAILURE,MECHANICAL_FAILURE,MECHANICAL_FAILURE,MECHANICAL_FAILURE,ModuleNotFoundError,ModuleNotFoundError,UNSUPPORTED_ORACLE,False,ORACLE_UNSUPPORTED,NOT_ACTIVATED,1,15833,525,3.61,artifacts/execution_logs/experiment5/end_to_end/B/E5A_B_experiment5_B_02_buggy.log,artifacts/execution_logs/experiment5/end_to_end/B/E5A_B_experiment5_B_02_fixed.log,
experiment5_B_03,tornado:1,B,NAIVE_RAW_HISTORY,3,TEST,generated_tests/experiment5/end_to_end/B/attempt_03.py,98b6dcbaabeec3938a0b148c4a0149620d2c3ffcb56a88d8b20809d6d8438282,buggy:unittest;fixed:unittest,True,SUPPORTED_ORACLE,"In tornado.escape.utf8(), passing a non-ASCII str on a system where the default encoding is not UTF-8 (e.g., LC_ALL=C) raises UnicodeEncodeError instead of encoding to UTF-8 bytes, because the implementation uses value.encode() without specifying 'utf-8'.","Call tornado.escape.utf8('é') under LC_ALL=C (Python 3.9, PYTHONUTF8=0, PYTHONCOERCECLOCALE=0), where sys.getdefaultencoding() is 'ascii'.","UnicodeEncodeError: 'ascii' codec can't encode character '\xe9' in position 0: ordinal not in range(128), instead of returning b'\xc3\xa9'.","tornado.escape.utf8('é') should return b'\xc3\xa9' (UTF-8 bytes), matching the documented purpose of utf8() to convert strings to UTF-8 bytes.","tornado/escape.py defines utf8(value) as 'Converts a string argument to a byte string. If the argument is already a byte string, it is returned unchanged. Otherwise it must be a unicode string, and it is encoded as UTF-8.' The implementation uses value.encode() without an explicit encoding, which relies on the default encoding. Under LC_ALL=C, the default encoding is 'ascii', so non-ASCII characters raise UnicodeEncodeError. Ordinary tests in tornado/test/escape_test.py include test_utf8 with non-ASCII strings, but they run under a UTF-8 locale in CI, so the bug is not caught.","cookiecutter:1 fixed a similar encoding bug where open() without encoding='utf-8' caused wrong decoding on Windows; PySnooper:3 fixed a variable name error in file output. These suggest that missing explicit encoding arguments are a recurring bug class, but the target-side evidence is the primary justification.",no,0,0,PASS,PASS,,,,,P2P,False,SEMANTIC_NON_TRIGGER,NOT_ACTIVATED,1,15833,820,4.466,artifacts/execution_logs/experiment5/end_to_end/B/E5A_B_experiment5_B_03_buggy.log,artifacts/execution_logs/experiment5/end_to_end/B/E5A_B_experiment5_B_03_fixed.log,
experiment5_B_04,tornado:1,B,NAIVE_RAW_HISTORY,4,TEST,generated_tests/experiment5/end_to_end/B/attempt_04.py,71cf0fdbba44a040b821a88cad24be86f9dcf8d53d91844b7ceeb4e72a9e4af7,buggy:unittest;fixed:unittest,True,SUPPORTED_ORACLE,"In tornado.escape, the xhtml_escape/url_escape family of functions mishandles non-ASCII or special characters under the C locale, producing incorrect escaping output.","Call tornado.escape.xhtml_escape on a string containing non-ASCII characters and special HTML characters, and tornado.escape.url_escape on a string with non-ASCII characters, under LC_ALL=C.",The escaping functions may raise UnicodeEncodeError or produce incorrectly escaped output when handling non-ASCII characters under the C locale.,xhtml_escape should correctly escape HTML special characters and preserve non-ASCII characters; url_escape should percent-encode non-ASCII characters correctly.,tornado/escape.py contains xhtml_escape and url_escape functions that are documented to handle unicode strings. The module uses to_unicode and utf8 conversions.,"cookiecutter:1 showed a bug where file reading without explicit encoding caused wrong decoding on Windows; PySnooper:3 showed a variable name bug. Neither directly transfers, but both suggest encoding-related bugs are common.",no,1,1,FAIL,FAIL,ASSERTION_FAILURE,ASSERTION_FAILURE,AssertionError,AssertionError,F2F,False,SEMANTIC_NON_TRIGGER,ACTIVATED,1,15833,640,3.688,artifacts/execution_logs/experiment5/end_to_end/B/E5A_B_experiment5_B_04_buggy.log,artifacts/execution_logs/experiment5/end_to_end/B/E5A_B_experiment5_B_04_fixed.log,
experiment5_B_05,tornado:1,B,NAIVE_RAW_HISTORY,5,TEST,generated_tests/experiment5/end_to_end/B/attempt_05.py,d85c6893ab269f69b8d329c43dc5f5f11a1224415c7e7289ba8ac0d5f9763d14,buggy:unittest;fixed:unittest,True,UNSUPPORTED_ORACLE,"In demos/s3server/s3server.py, BaseRequestHandler._object_path computes the MD5 hash of object_name without encoding it to bytes, so when bucket_depth >= 1 and object_name is a str (as produced by os.walk and passed from BucketHandler.get), hashlib.md5(object_name) raises TypeError instead of returning a path.","Instantiate S3Application with bucket_depth=1, create a BaseRequestHandler-like object with that application, and call _object_path('bucket', 'some/object.txt') with a str object_name.","TypeError: Unicode-objects must be encoded before hashing (or similar), so bucket listing with bucket_depth >= 1 fails.","_object_path should return a valid filesystem path string for a str object_name when bucket_depth >= 1, without raising TypeError.","demos/s3server/s3server.py defines _object_path and calls hashlib.md5(object_name).hexdigest(); object_name originates from os.walk file names (str) in BucketHandler.get and is passed directly to _object_path. The module imports hashlib and uses Python 3 syntax elsewhere (e.g., unicode_type, os.makedirs), so str input is expected.",cookiecutter:1 and PySnooper:3 both show Python 3 encoding/name bugs where a str/bytes mismatch or wrong variable caused runtime failure; this suggests probing similar encoding assumptions in target code.,no,1,1,MECHANICAL_FAILURE,MECHANICAL_FAILURE,MECHANICAL_FAILURE,MECHANICAL_FAILURE,ModuleNotFoundError,ModuleNotFoundError,UNSUPPORTED_ORACLE,False,ORACLE_UNSUPPORTED,NOT_ACTIVATED,1,15833,665,4.082,artifacts/execution_logs/experiment5/end_to_end/B/E5A_B_experiment5_B_05_buggy.log,artifacts/execution_logs/experiment5/end_to_end/B/E5A_B_experiment5_B_05_fixed.log,
experiment5_B_06,tornado:1,B,NAIVE_RAW_HISTORY,6,NO_SUPPORTED_HYPOTHESIS,,,,,UNSUPPORTED_ORACLE,,,,,,,no,,,,,,,,,NO_SUPPORTED_HYPOTHESIS,,MODEL_OUTPUT_FAILURE,NOT_ACTIVATED,1,15833,78,2.161,,,
experiment5_B_07,tornado:1,B,NAIVE_RAW_HISTORY,7,NO_SUPPORTED_HYPOTHESIS,,,,,UNSUPPORTED_ORACLE,,,,,,,no,,,,,,,,,NO_SUPPORTED_HYPOTHESIS,,MODEL_OUTPUT_FAILURE,NOT_ACTIVATED,1,15833,78,1.865,,,
experiment5_B_08,tornado:1,B,NAIVE_RAW_HISTORY,8,TEST,generated_tests/experiment5/end_to_end/B/attempt_08.py,dca0b2f183923e36fb0a891daa8b26b9070495c244200ec7ac2109ec36b4256c,buggy:pytest;fixed:pytest,True,UNSUPPORTED_ORACLE,"In demos/chat/chatdemo.py, MessageBuffer.get_messages_since(cursor) returns the entire cache (all messages) instead of only messages newer than the given cursor when the cursor is not found in the cache, because the loop only breaks when it encounters a matching id and otherwise appends every message.","Create a MessageBuffer, add messages with ids 'a','b','c', then call get_messages_since('nonexistent') and get_messages_since('b').","get_messages_since('nonexistent') returns all 3 messages rather than an empty list (or only messages after the unknown cursor), and get_messages_since('b') returns ['c'] correctly but the unknown-cursor case leaks the full cache.","get_messages_since(cursor) should return only messages newer than the given cursor; if the cursor is not present in the cache, no messages should be considered newer than it, so the result should be an empty list.","demos/chat/chatdemo.py docstring: 'Returns a list of messages newer than the given cursor. ``cursor`` should be the ``id`` of the last message received.' The implementation iterates reversed(self.cache), breaks on matching id, and appends otherwise; with no match it appends all messages, contradicting the documented 'newer than the given cursor' semantics.","cookiecutter:1 and PySnooper:3 both show off-by-semantics bugs where a function silently returns/uses wrong data (wrong encoding, wrong variable name) rather than raising; this suggests probing small pure helper functions for incorrect return values.",no,2,2,MECHANICAL_FAILURE,MECHANICAL_FAILURE,MECHANICAL_FAILURE,MECHANICAL_FAILURE,ModuleNotFoundError,ModuleNotFoundError,UNSUPPORTED_ORACLE,False,ORACLE_UNSUPPORTED,NOT_ACTIVATED,1,15833,686,4.017,artifacts/execution_logs/experiment5/end_to_end/B/E5A_B_experiment5_B_08_buggy.log,artifacts/execution_logs/experiment5/end_to_end/B/E5A_B_experiment5_B_08_fixed.log,
experiment5_B_09,tornado:1,B,NAIVE_RAW_HISTORY,9,TEST,generated_tests/experiment5/end_to_end/B/attempt_09.py,38e635fbb2cc8c9270a4a6865b846239fb5638f457def6621888179fcfae8319,buggy:pytest;fixed:pytest,True,SUPPORTED_ORACLE,"In tornado.escape, the xhtml_escape function does not escape the single quote character (') when quote=True, so a string containing an apostrophe passes through unescaped, producing incorrect HTML output.","Call tornado.escape.xhtml_escape(""it's"") with default quote=True and inspect the returned string.","The apostrophe is left as a literal ' instead of being converted to &#39; (or &#x27;), so the escaped output is not safe for use in single-quoted HTML attributes.","xhtml_escape(""it's"") should return a string in which the apostrophe is replaced by an HTML entity (&#39;), matching the documented behavior that xhtml_escape escapes quotes.",tornado/escape.py defines xhtml_escape with a quote parameter and a _XHTML_ESCAPE_RE regex; the docstring states it escapes characters for use in HTML including quotes. The regex character class is expected to include the apostrophe.,"cookiecutter:1 and PySnooper:3 both show encoding/escaping-related defects where a function silently mishandles a character class, suggesting escape functions are a fruitful area to probe.",no,0,0,PASS,PASS,,,,,P2P,False,SEMANTIC_NON_TRIGGER,NOT_ACTIVATED,1,15833,563,3.869,artifacts/execution_logs/experiment5/end_to_end/B/E5A_B_experiment5_B_09_buggy.log,artifacts/execution_logs/experiment5/end_to_end/B/E5A_B_experiment5_B_09_fixed.log,
experiment5_B_10,tornado:1,B,NAIVE_RAW_HISTORY,10,TEST,generated_tests/experiment5/end_to_end/B/attempt_10.py,1e2fa2d133a6d8c3720935cfead7c50c1acc35babbe1638a0d8339adf23278cf,buggy:unittest;fixed:unittest,True,SUPPORTED_ORACLE,"In tornado.escape.json_decode, when given a bytes input containing non-ASCII UTF-8 characters, the function fails to decode it correctly (raises an error or returns wrong data) because it does not explicitly decode bytes as UTF-8 before passing to json.loads.","Call tornado.escape.json_decode with a UTF-8 encoded bytes object containing a non-ASCII character, e.g., b'{""name"": ""\xc3\xa9""}'.","json_decode may raise a TypeError or UnicodeDecodeError, or return a string with incorrect characters, instead of correctly decoding the JSON and returning a dict with the non-ASCII string.",json_decode should correctly parse the JSON bytes and return a dict with the non-ASCII string properly decoded as a Python str.,"tornado/escape.py defines json_decode which calls json.loads on the input. The docstring says it takes a string, but the function is often used with bytes. The implementation does not explicitly decode bytes, relying on json.loads to handle bytes, which in Python 3.9 may not handle non-ASCII bytes correctly. Ordinary tests in tornado/test/escape_test.py include test_json_decode which tests with bytes but only ASCII.","cookiecutter:1 and PySnooper:3 both involve encoding issues with file reading and writing, suggesting that encoding-related bugs are common and can be triggered by non-ASCII input.",no,0,0,PASS,PASS,,,,,P2P,False,SEMANTIC_NON_TRIGGER,NOT_ACTIVATED,1,15833,543,3.939,artifacts/execution_logs/experiment5/end_to_end/B/E5A_B_experiment5_B_10_buggy.log,artifacts/execution_logs/experiment5/end_to_end/B/E5A_B_experiment5_B_10_fixed.log,
